ITEM_20150317_000001	Empty_helmet
ITEM_20150317_000002	Murmillo Helmet
ITEM_20150317_000003	Empty_armband
ITEM_20150317_000004	Red Armband
ITEM_20150317_000005	Armband
ITEM_20150317_000006	Knotted Armband
ITEM_20150317_000007	Long Armband
ITEM_20150317_000008	Feather Armband
ITEM_20150317_000009	Tasseled Armband
ITEM_20150317_000010	Empty_weapon
ITEM_20150317_000011	Crude Gladius
ITEM_20150317_000012	One-handed Sword [Slash]
ITEM_20150317_000013	ดาบมาตรฐานสำหรับทหารในกองทัพ พลเรือนก็สามารถใช้ได้
ITEM_20150317_000014	Gladius
ITEM_20150317_000015	อาวุธชิ้นนี้พัฒนาจากอาวุธของทหาร
ITEM_20150317_000016	Low Falchion
ITEM_20150317_000017	ดาบรุ่นพิเศษเหมาะกับการฟาดฟัน
ITEM_20150317_000018	Low Kaskara
ITEM_20150317_000019	"เป็นดาบที่สร้างขึ้นได้ง่าย,นักผจญภัยมักนิยมใช้ในการฝึกฝีมือ"
ITEM_20150317_000020	Cinquedea
ITEM_20150317_000021	แนะนำสำหรับผู้ที่ต้องการดาบที่หนักและแข็งแรง
ITEM_20150317_000022	Sabre
ITEM_20150317_000023	อาวุธหลักของทหารม้าเหมาะกับการฟาดฟัน และมีส่วนป้องกันการโจมตีโดนมือ
ITEM_20150317_000024	Shamshir
ITEM_20150317_000025	ใบมีดขนาดใหญ่มีพลังในการตัดเฉือนสูง
ITEM_20150317_000026	Scimitar
ITEM_20150317_000027	ถึงจะมีน้ำหนักมาก แต่ก็ส่งผลให้มีพลังในการตัดเฉือนสูงมากตามไปด้วย
ITEM_20150317_000028	Kris
ITEM_20150317_000029	มีใบมีดแบบบิดเกลียวทำให้สร้างอาการบาดเจ็บแก่ศัตรูมากขึ้น อีกทั้งยังเป็นดาบที่สวยงามอีกด้วย
ITEM_20150317_000030	Snickersnee
ITEM_20150317_000031	ใบมีดคมกริบและมีความสวยงามทำให้เป็นที่ชื่นชอบของเหล่านักดาบ
ITEM_20150317_000032	Crude Shamshir
ITEM_20150317_000033	Crude Scimitar
ITEM_20150317_000034	Soldier's Gladius
ITEM_20150317_000035	อาวุธพื้นฐานของเหล่าทหาร คุณภาพค่อนข้างดีกว่าของในท้องตลาด
ITEM_20150317_000036	Mayor's Falchion
ITEM_20150317_000037	อาวุธชิ้นนี้เหมือนมีความลับบางอย่างที่เกี่ยวข้องกับผู้ที่ครอบครอง
ITEM_20150317_000038	Crude Kaskara
ITEM_20150317_000039	Moplah
ITEM_20150317_000040	ดาบที่มีความสง่างามและมนต์ขลัง
ITEM_20150317_000041	Heavy Gladius
ITEM_20150317_000042	Falchion
ITEM_20150317_000043	Heavy Falchion
ITEM_20150317_000044	Kaskara
ITEM_20150317_000045	Heavy Chinqueda
ITEM_20150317_000046	Heavy Sabre
ITEM_20150317_000047	Heavy Shamshir
ITEM_20150317_000048	Dunkel Sabre
ITEM_20150317_000049	Dunkel Snickersnee
ITEM_20150317_000050	Dunkel Falchion
ITEM_20150317_000051	Dunkel Kaskara
ITEM_20150317_000052	Dunkel Cinquedea
ITEM_20150317_000053	Dunkel Shamshir
ITEM_20150317_000054	Kozuka
ITEM_20150317_000055	ไม่มีเครื่องมือการแนะนำ
ITEM_20150317_000056	Badelaire
ITEM_20150317_000057	Saif
ITEM_20150317_000058	Colichemarde
ITEM_20150317_000059	Firangi
ITEM_20150317_000060	Thorn Cutter
ITEM_20150317_000061	Demion Sword
ITEM_20150317_000062	Master Sword
ITEM_20150317_000063	Panto Sword
ITEM_20150317_000064	ดาบที่ยังไม่ได้ลับคมของแพนโต้ คุณสามารถตีดาบให้มีความคมได้ด้วยตัวคุณเอง
ITEM_20150317_000065	Flonas Sabre
ITEM_20150317_000066	บางคนกล่าวว่าอาวุธชิ้นนี้สะท้อนความโศกเศร้าของพืชและสัตว์ออกมา
ITEM_20150317_000067	Golden Falchion
ITEM_20150317_000068	ดาบสีทองที่มาพร้อมกับโชคดี ช่วยปัดเป่าโชคร้ายออกไป
ITEM_20150317_000069	Steel Falchion
ITEM_20150317_000070	ดาบเล่มนี้เป็นตัวเลือกที่ดีสำหรับเหล่านักดาบ
ITEM_20150317_000071	Silver Falchion
ITEM_20150317_000072	ดาบเล่มนี้น้ำหนักเบาเหมาะกับนักดาบที่ต้องการความเร็วในการโจมตี
ITEM_20150317_000073	Mandrapick
ITEM_20150317_000074	ดาบเล่มนี้สามารถช่วยปัดเป่าคำสาปจากแมนดราโกร่า
ITEM_20150317_000075	Wizard Blade
ITEM_20150317_000076	คุณอย่าดูถูกพลังของดาบเล่มนี้ เพราะมันเป็นดาบที่มีพลังแห่งเวทมนตร์แฝงอยู่
ITEM_20150317_000077	Cheminis Sword
ITEM_20150317_000078	ดาบเล่มนี้ถูกสร้างขึ้นโดยครอบครัว Winterspoon นักเล่นแร่แปรธาตุที่มีชื่อเสียง
ITEM_20150317_000079	Austas
ITEM_20150317_000080	เป็นอาวุธที่ราคาสูงพ่อค้ามักแนะนำว่าให้ไปหาอาวุธชิ้นอื่นมาใช้ก่อนดีกว่า
ITEM_20150317_000081	Miskas Sabre
ITEM_20150317_000082	ดาบเล่มนี้จะทำให้ผู้ใช้มีความคล่องตัวขึ้น
ITEM_20150317_000083	Imperni Sword
ITEM_20150317_000084	หลายๆคนมีประสบการณ์การใช้ดาบเล่มนี้มาแล้ว
ITEM_20150317_000085	Gritas
ITEM_20150317_000086	มีดที่นักผจญภัยนิยมใช้เพราะสามารถสู้กับมอนสเตอร์ได้ดี แต่ผู้ที่ใช้มีดเล่มนี้จะรู้สึกต้องการแก้แค้นอยู่ตลอดเวลา
ITEM_20150317_000087	Spatha
ITEM_20150317_000088	มีดที่พัฒนามาจากกาดิอุสโดยมีใบมีดที่ยาวขึ้น
ITEM_20150317_000089	Aras' Falchion
ITEM_20150317_000090	เป็นอาวุธที่จะทำให้คุณได้สัมผัสกับประสบการณ์การใช้ดาบสั้น
ITEM_20150317_000091	Smith Sword
ITEM_20150317_000092	มีโอกาสสร้างการบาดเจ็บ - 2%  เพิ่มความเสียหาย 600%
ITEM_20150317_000093	ดาบที่ส่องแสงแวววับเกิดขึ้นจากความตั้งใจของผู้สร้าง
ITEM_20150317_000094	Klavis Sword
ITEM_20150317_000095	ของค่อนข้างมีคุณภาพ ขายได้ราคาดี
ITEM_20150317_000096	Dio Sword
ITEM_20150317_000097	Thresh Sword
ITEM_20150317_000098	Sestas Sword
ITEM_20150317_000099	Dratt Sword
ITEM_20150317_000100	Aston Sword
ITEM_20150317_000101	Devi Sword
ITEM_20150317_000102	Prima Sword
ITEM_20150317_000103	Trinity Sword
ITEM_20150317_000104	ถ้าคุณไม่พอใจกับดาบรูปแบบเดิมๆ นี้เป็นอีกทางเลือกหนึ่งของคุณ แต่จะต้องจ่ายเงินมากพอสมควรเลยทีเดียว
ITEM_20150317_000105	Durandal
ITEM_20150317_000106	นักผจญภัยยกให้เป็นดาบที่ดีที่สุด เรียกได้ว่าเป็นดาบที่ถูกเลือกจากเทพธิดา
ITEM_20150317_000107	Velniup
ITEM_20150317_000108	หลายๆคนพูดว่ามันเป็นอาวุธที่โหดร้าย
ITEM_20150317_000109	Fortis
ITEM_20150317_000110	ไม่ค่อยได้รับความนิยมเท่าไรใน Great Plant Cataclysm แต่เหมือนกับว่าใช้กับมอนสเตอร์เกราะยิ่งมีประสิทธิภาพ
ITEM_20150317_000111	Chapparition Cutter
ITEM_20150317_000112	มีความเชื่อว่ามีดนี้ถูกใช้โดยเหล่าปิศาจ
ITEM_20150317_000113	Deathweaver Cutter
ITEM_20150317_000114	ใบมีดมีพลังของเดธบริงเกอร์สิงอยู่
