QUEST_20150317_000001	Please select the user requiring a quest update.	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20150317_000002	Statue of Goddess Vakarine	Statue of Goddess Vakarine
QUEST_20150317_000003	Please select a territory.	กรุณาเลือกพื้นที่
QUEST_20150317_000004	Select	เลือก
QUEST_20150317_000005	Please select an item.	กรุณาเลือกไอเทม
QUEST_20150317_000006	Select Group	กรุณาเลือกไอเทม
QUEST_20150317_000007	Please select a cheat start group.	กรุณาเลือกกลุ่ม cheat start
QUEST_20150317_000008	Select Zone	กรุณาเลือกโซน
QUEST_20150317_000009	Please select a starting zone.	กรุณาเลือกโซนเริ่มต้น
QUEST_20150317_000010	Select Advancement	กรุณาเลือกอาชีพขั้นต่อไป
QUEST_20150317_000011	Please select a class.	กรุณาเลือกอาชีพที่ต้องการ
QUEST_20150317_000012	Bokor Master	Bokor Master
QUEST_20150317_000013	"So you are curious about this stone slate. {nl}If you wish, I shall show you the will of its creator."	ข้าเข้าใจแล้วว่าเจ้าอยากจะรู้เพิ่มเติมเกี่ยวกับแผ่นหินนี้{nl}หากเจ้าต้องการ ข้าจะแสดงให้เจ้าเห็นถึงความประสงค์ของผู้ที่สร้างมันขึ้นมา
QUEST_20150317_000014	Goddess Laima	Goddess Laima
QUEST_20150317_000015	"By the time you get this message, much time will have passed. {nl}I am Laima, the goddess of fate and wisdom."	กว่าที่ท่านจะได้รับข้อความนี้ เวลาก็ได้ผ่านมาเนิ่นนานแล้ว{nl}ข้าคือเทพธิดาแห่งโชคชะตาและปัญญา นามของข้าคือ Laima {nl}
QUEST_20150317_000016	"600 years ago while creating this revelation, I foresaw a great deal of death and suffering. {nl}If you are seeing this, then I am afraid what I foresaw has come to pass."	600 ปีก่อน ข้าได้มองเห็นนิมิตอันเลวร้าย เป็นช่วงเวลาแห่งความตายและทุกข์เข็ญ{nl}หากท่านเองก็มองเห็นมันเช่นกันข้าเกรงว่าช่วงเวลานั้นได้มาถึงแล้ว{nl}
QUEST_20150317_000017	"The demons have started the first of the cataclysms, and the goddesses have vanished. {nl}I knew all of this would occur and did everything I could to prevent this fate, but my power was not enough."	พวกปีศาจได้เริ่มต้นสิ่งที่เป็นมหาภัยพิบัติ และหลังจากนั้นเหล่าเทพธิดาทุกองค์ก็หายสาบสูญ{nl}ข้ารู้ดีว่ามันจะเกิดขึ้นและได้ทำทุกวิถีทางเพื่อที่จะหยุดยั้งมัน แต่ด้วยพลังที่ข้ามีนั้นไม่มากพอจะฝืนโชคชะตา
QUEST_20150317_000018	"Instead, I wandered through far-seeing dreams for an answer. {nl}You were at the end of them... a Savior."	ข้าเดินทางรอนแรมผ่านความฝันและนิมิตมากมายเพื่อค้นหาหนทางแก้ไขวิกฤต{nl}และสิ่งที่ข้าเห็นที่ปลายสุดของนิมิตเหล่านั้นคือท่าน… ผู้กอบกู้
QUEST_20150317_000019	"Unfortunately, the demons could not stay still, knowing that I possess strength in clairvoyance. {nl}I was forced to hide until the time of your appearance."	แต่โชคไม่เข้าข้าง ข้าไม่สามารถอยู่ที่ใดเป็นหลักแหล่งได้ในขณะที่พวกปีศาจยังออกตามล่าข้าอยู่ ด้วยพวกมันล่วงรู้ถึงอำนาจแห่งการพยากรณ์ของข้า{nl}ข้าถูกบังคับให้ต้องหลบซ่อน จนกว่าจะถึงเวลาที่ท่านปรากฏตัว
QUEST_20150317_000020	I decided to divide my being and remain within many revelations. {nl} Revelations that I continued to create secretly over a millennium.	ข้าได้แบ่งพลังชิวิตของข้าและสถิตมันลงไปในข้อความจำนวนมากมาย{nl}ข้อความที่ข้าสร้างขึ้นอย่างลับๆ ตลอดระยะเวลาหลายร้อยหลายพันปี
