QUEST_JOBSTEP_20150317_000001	Bokor. You've chosen a difficult path. {nl}Refer to the instructions in your Adventure Journal and make your own doll.	Bokor คุณได้เลือกทางที่ยากแล้ว{nl}ตามคำแนะนำในบันทึกการผจญภัยของคุณแล้วทำตุ๊กตาของคุณเอง
QUEST_JOBSTEP_20150317_000002	You must make a doll by yourself. {nl}Check your Adventure Journal to see how you can make the doll.	คุณต้องสร้างตุ๊กตาด้วยตัวคุณเอง{nl}ตรวจสอบ Adventure Journal ของคุณเพื่อดูว่าจะสามารถสร้างตุ๊กตาได้อย่างไร
QUEST_JOBSTEP_20150317_000003	"Congratulations, a new Bokor is born. {nl}When I first chose the path of a Bokor, I started by creating a doll of my own."	ยินดีด้วย Bokor คนใหม่ได้กำเนิดแล้ว {nl}ตอนที่ฉันเลือกเส้นทางการเป็น Bokor ครั้งแรกนั้น ฉันก็ได้เริ่มสร้างตุ๊กตาด้วยตัวฉันเองเลย
QUEST_JOBSTEP_20150317_000004	Peltasta Master	Peltasta Master
QUEST_JOBSTEP_20150317_000005	If you want to receive my teachings then you have to prove your worth first.{nl}Here's a challenge: Defeat some Vubbes on the 1st Floor of the Crystal Mine.	หากคุณต้องการให้ฉันสอนล่ะก็ คุณจำเป็นต้องพิสูจน์ว่าคุณนั้นคู่ควรเสียก่อน{nl}นี่คือบทพิสูจน์ของคุณ กำจัดพวก Vubbe ที่ชั้นแรกของ Crystal Mine
QUEST_JOBSTEP_20150317_000006	How can you bear the title of Peltasta if you can't even handle that much?	คุณกล้าถือตัวว่าเป็น Peltasta ได้อย่างไรกัน หากคุณไม่สามารถจัดการกับเรื่องแบบนั้นได้
QUEST_JOBSTEP_20150317_000007	Good. {nl}I hope your new growth leads to you saving the world.	ยอดเยี่ยม{nl}ฉันหวังว่าการเติบโตของคุณจะช่วยโลกนี้ไว้ได้
QUEST_JOBSTEP_20150317_000008	Highlander Master	Highlander Master
QUEST_JOBSTEP_20150317_000009	"I'm so thankful that you want to be the successor of my swordsmanship, but I suspect that you won't follow my teachings well.{nl}I will test you by having you defeat the Vubbes that are occupying the 1st floor of the Crystal Mine."	ฉันรู้สึกขอบคุณมากที่คุณอยากเป็นผู้สืบทอดตำแหน่งดาบของฉัน แต่ฉันสงสัยว่าคุณจะไม่ปฏิบัติตามคำสอนของฉันอย่างดี {nl} ฉันจะทดสอบคุณโดยการเอาชนะพวก Vubbe ที่ครองชั้น 1 ของ Crystal Mine
QUEST_JOBSTEP_20150317_000010	"Hurry. {nl} Although this is your initiation challenge, the Vubbes are a threat to the Miners' Village."	เร็วเข้า{nl}แม้ว่านี่จะเป็นเพียงการทดสอบเริ่มต้นของคุณ แต่พวก Vubbe ก็กำลังรุกราน Miners' Village อยู่นะ
