QUEST_LV_0100_20150317_000001	Sentinel	Sentinel
QUEST_LV_0100_20150317_000002	"If you choose to go to Klaipeda, I recommend taking the Shadow Forest Road.{nl}The deep woods are dangerous, so try to stay away from there if you can."	ถ้าคุณเลือกที่จะไป Klaipeda ฉันขอแนะนำให้ไช้เส้นทาง Shadow Forest Road {nl} แล้วก็ถ้าเป็นไปได้ให้หลีกเลี่ยงเส้นทางที่เป็นป่าลึก เพราะมันอันตรายมาก
QUEST_LV_0100_20150317_000003	Man in Hiding	ชายที่ซ่อนตัวอยู่
QUEST_LV_0100_20150317_000004	F-Finally...! Has help arrived?{nl}Huh?! It's just a kid? Hey... Are there still Vubbes outside?	ในที่สุดดดดด ฉันก็มาถึง {nl} หือ?! นั่นมันเด็กนี่นา เฮ้...พวก Vubbe ยังอยู่ข้างนอกอีกเหรอ
QUEST_LV_0100_20150317_000005	Ugh. Go away! Don't talk to me! We'll get caught by the Vubbes!{nl}This is my place so leave!	อั่กก ถอยไป! ไม่ต้องมาคุยกับฉัน! พวกเราจะถูกพวก Vubbe จับ {nl} นี่มันที่ของฉัน ไปซะ!
QUEST_LV_0100_20150317_000006	What? Don't lie to me! I can smell the Vubbes from here.{nl}You can't fool an adult! Go away! Do not come near this barrel!	อะไรนะ ไม่ต้องมาหลอกฉัน! ฉันได้กลิ่นพวก Vubbe แถวนี้ {nl} หลอกฉันไม่ได้หรอก! ไปซะ!  อย่าเข้ามาใกล้ถังนี่นะ!
QUEST_LV_0100_20150317_000007	F-Finally...! Has help arrived?{nl}Huh?! It's just a kid? What are you looking at? Close the lid and move along!{nl}	ในที่สุดดดดด ฉันก็มาถึง {nl} หือ?! นั่นมันเด็กนี่นา กำลังมองหาอะไรเหรอ ปิดฝาแล้วไปซะ!{nl}
QUEST_LV_0100_20150317_000008	"What's that paper you're holding? It looks familiar...{nl}Let me see that! What are you doing? Hey, there's an adult speaking to you!"	นั่นถือกระดาษอะไรอยู่น่ะ มันดูคุ้นจัง...{nl} เอามาให้ฉันดูซิ! กำลังทำอะไรน่ะ เฮ้ นี่ฉันกำลังพูดด้วยอยู่นะ!
QUEST_LV_0100_20150317_000009	"This paper, it's mine! I'm never giving it away again!!{nl}It's... not something you need - I'll just rip it apart. There."	กระดาษนี่มันเป็นของฉัน! ฉันจะไม่ให้ใครทั้งนั้น!!{nl}มันไม่ใช่อะไรที่คุณต้องการหรอก ฉันจะฉีกมัน
QUEST_LV_0100_20150317_000010	"Sheesh, that's lame..."	อ๋าาาา นั่นมันเจ้าง่อยนี่...
QUEST_LV_0100_20150317_000011	"After all the goddesses had vanished, these dreams were one of the first things that came up.{nl}Maybe one of these people will be the one who brings the goddesses back."	หลังจากที่เหล่าเทพธิดาได้หายไปนั้น ความฝันนี้ก็เป็นสิ่งแรกที่เกิดขึ้นกับฉัน{nl} บางทีคนเหล่านี้อาจจะพาเหล่าเทพธิดากลับมาก็ได้
QUEST_LV_0100_20150317_000012	Soldier Blak	Soldier Blak
QUEST_LV_0100_20150317_000013	"Be warned!{nl}Monsters are attacking, so all civilians must evacuate!{nl}Why are those civilians in the military zone anyway?{nl}"	นี่คือการเตือน!{nl}เรากำลังถูกมอนสเตอร์โจมตี รีบอพยพผู้คนโดยด่วน!{nl} ทำไมคนเหล่านั้นยังอยู่ในเขตของกองทัพอีกนะ{nl}
QUEST_LV_0100_20150317_000014	"Ah, so you are the Revelator! I'm sorry, I didn't recognize you.{nl}Monsters are attacking the supply base at the moment.{nl}I need to get some important rations out from the base. Please help me!"	โทษที คุณคือ Revelator งั้นเหรอ เผอิญผมจำคุณไม่ได้ {nl} เรากำลังถูกมอนสเตอร์โจมตีฐานการผลิต {nl} ฉันอยากให้ช่วยขนเสบียงสำคัญออกจากฐานหน่อย!
QUEST_LV_0100_20150317_000015	"It was peaceful not too long ago, but now they are coming in groups.{nl}What's happening exactly?"	มันเคยเป็นที่สงบสุขมานาน แต่ตั้งแต่พวกเขาเข้ามานี่ล่ะ {nl} นี่มันกำลังเกิดอะไรขึ้นเนี่ย
QUEST_LV_0100_20150317_000016	"Even so, I felt uneasy...{nl}Who knew that they'd attack in such an absurd manner?"	ฉันรู้สึกไม่ค่อยดีเลย...{nl} ใครจะรู้ล่ะว่าเราจะถูกโจมตีแบบนี้
QUEST_LV_0100_20150317_000017	"The rations are in the First Supply Warehouse, which you can get to using the road {nl}on the upper side. Please bring back whatever leftovers you find... "	เสบียงอยู่ในคลังแรก เดินตามทางนี้ไป {nl} ตรงถนนด้านบนนั้น ช่วยขนอะไรที่พอขนได้กลับมาด้วยนะ...
QUEST_LV_0100_20150317_000018	"I wrote down who Sparnas is. Maybe it will be useful in the future.{nl}Though I may not appear so right now, I was a biologist four years ago."	ฉันเขียนลงไปว่า Sparnas คือใคร บางทีมันอาจจะเป็นประโยชน์ในอนาคต {nl} ถึงแม้ว่าฉันจะไม่ได้อยู่ที่นี่ ฉันเคยเป็นนักชีววิทยามา 4 ปีแล้ว
QUEST_LV_0100_20150317_000019	Please pass this report to Luders.{nl}He is probably at the Center Supply Camp.	กรุณาส่งรายงานนี้ให้แก่ Luders {nl} เขาน่าจะอยู่ที่ Center Supply Camp
QUEST_LV_0100_20150317_000020	Officer Luders	Officer Luders
QUEST_LV_0100_20150317_000021	"Ah, you must be the so called Revelator. Nice to meet you.{nl}Is this Blak's report?{nl}"	อ่า คุณคงจะเป็น Revelator ยินดีที่ได้พบ {nl} นี่คือรายงานของ Blak เหรอ{nl}
QUEST_LV_0100_20150317_000022	"Hmm... Is that so?{nl}It appears they simply destroyed the supplies and ran away. But even if Chupacabras had wings, {nl}surely they can't do something like that.{nl}"	หืมม...เพื่ออะไรนะ {nl} มันปรากฎขึ้น ทำลายเสบียงแล้วก็หนีไป แต่ถึง Chupacabras มีปีก {nl} ก็ไม่น่าจะทำอะไรแบบนั้นได้ {nl}
QUEST_LV_0100_20150317_000023	"This isn't enough.{nl}I am sorry, but please bring us Moody's report from Amzina Curved Path."	นี่มันยังไม่พอ {nl} ต้องขอโทษด้วย แต่ช่วยเอารายงานของ Moody จาก Amzina Curved Path
QUEST_LV_0100_20150317_000024	I feel better since Luders is here.	ฉันรู้สึกดีขึ้นตั้งแต่ Luders อยู่นี่
QUEST_LV_0100_20150317_000025	Soldier York	Soldier York
QUEST_LV_0100_20150317_000026	"The Siaulambs are crossing the road. I am in a panic myself, and I don't know what to do.{nl}I'm sure Luders won't allow this to happen... What should we do?"	ตอนที่ Siaulams กำลังข้ามถนน ฉันกำลังตื่นตกใจอยู่และก็ไม่รู้ว่าจะต้องทำอย่างไร {nl} ฉันแน่ใจว่า Luders จะไม่มีทางปล่อยให้เรื่องนี้เกิดขึ้นแน่นอน...พวกเราควรจะทำอย่างไร
QUEST_LV_0100_20150317_000027	Do you think the problem will be resolved just by defeating Sparnas?	คุณคิดเหรอว่าปัญหาจะถูกแก้ได้เพียงแค่กำจัด Sparnas
QUEST_LV_0100_20150317_000028	"Thanks to your help, I think I can hold myself together.{nl}But... won't this kind of thing happen again? What should I do then...?"	ขอบคุณที่ช่วยนะ ฉันคิดว่าฉันดีขึ้นแล้วล่ะ {nl} แต่...อะไรแบบนี้จะไม่เกิดขึ้นอีกใช่ไหม ฉันควรจะทำอย่างไรต่อไปดี
