QUEST_LV_0200_20150317_000001	Philipas' Soldier	ทหารของPhilipas
QUEST_LV_0200_20150317_000002	"The monsters' attacks are becoming more violent. {nl} I'm determined to succeed, but I also fear for our safety."	การโจมตีของมอนสเตอร์เริ่มรุนแรงมากขึ้น{nl} ฉันมุ่งมั่นที่จะประสบความสำเร็จ แต่ฉันยังคงกลัวเรื่องความปลอดภัยของเรา
QUEST_LV_0200_20150317_000003	"It doesn't matter - I can give up my life today, or be a dead man tomorrow."	มันไม่สำคัญเลย-ฉันจะสามารถใช้ชีวิตของฉันได้ในวันนี้หรือจะตายในวันพรุ่งนี้
QUEST_LV_0200_20150317_000004	Commander Vacenin	Commander Vacenin
QUEST_LV_0200_20150317_000005	"Somehow, we need to resolve our poor supplies and forces. {nl}Once we accomplish that we will be able to break through the forest, piece by piece."	อย่างไรก็ตามพวกเราต้องทำการแก้ไขอุปกรณ์ที่ชำรุดและกองกำลัง{nl}เมื่อเราทำสำเร็จที่เราจะสามารถที่จะผ่านป่านี้ไปได้
QUEST_LV_0200_20150317_000006	"Even though everyone's getting tired, we can't give up until Kateen Forest is ours again."	แม้ว่าทุกคนจะเหน็ดเหนื่อยเพียงใด เราก็ไม่สามารถเลิกทำได้จนกว่าป่าKateenจะเป็นของเราอีกครั้ง
QUEST_LV_0200_20150317_000007	Senior Officer Philipas	เจ้าหน้าที่อาวุโสPhilipas
QUEST_LV_0200_20150317_000008	"I wish for a peaceful world. {nl}In order for this to happen, I need to work harder."	ฉันปรารถนาให้โลกนี้สงบสุข{nl}เพื่อทำให้สิ่งนี้เกิดขึ้น เราต้องทำงานให้หนักขึ้น
QUEST_LV_0200_20150317_000009	I'll do anything to regain this forest from the monsters. {nl} It's worth risking my life for.	ฉันจะทำทุกอย่างเพื่อนำป่านี้คืนมาจากมอนสเตอร์{nl}มันคุ้นค่าพอที่จะเสี่ยงชีวิตเพื่อมัน
QUEST_LV_0200_20150317_000010	Our front line is composed exclusively of Philipas' troops. {nl} They'll follow Philipas' commands through anything.	แถวหน้าของเราประกอบด้วยกองกำลังทหารของPhilipas{nl} พวกเขาจะทำตามคำสั่งของPhilipas
QUEST_LV_0200_20150317_000011	Live with the idea that any moment could become your last. {nl} We must learn from the past and use it to our advantage.	มีชีวิตอยู่กับความคิดที่ว่าช่วงเวลาใดจะเป็นช่วงเวลาสุดท้ายของคุณ{nl}เราต้องเรียนรู้จากอดีตที่ผ่านมาและใช้มันเพื่อประโยชน์ของเรา
QUEST_LV_0200_20150317_000012	Officer Felix	เจ้าหน้าที่ Felix
QUEST_LV_0200_20150317_000013	"The Entrance of Kateen Forest is rather on the safe side, but please refrain from going any deeper than this."	ทางเข้าป่า Kateenค่อนข้างที่จะปลอดภัยแต่โปรดอย่าเข้าไปลึกกว่านี้
QUEST_LV_0200_20150317_000014	Weak Owl Sculpture	รูปปั้นนกฮูกอ่อนแอ
QUEST_LV_0200_20150317_000015	My power is slowly weakening. {nl} Even though there are many souls that need guidance...	พลังของฉันจะค่อยๆอ่อนแอลง{nl}แม้ว่าจะมีวิญญาณจำนวนมากที่ต้องการคำแนะนำก็ตาม...
QUEST_LV_0200_20150317_000016	Scared Owl Sculpture	รูปปั้นนกฮูกหวาดกลัว
QUEST_LV_0200_20150317_000017	The holy power of the forest is weakening. {nl} What will happen to us after it's gone?!	พลังบริสุทธิ์ของป่าอ่อนกำลังลดลง{nl} จะเกิดสิ่งใดขึ้นกับเราหากมันหายไป?!
QUEST_LV_0200_20150317_000018	It's too scary. {nl}This never happened when the goddess was still around...	มันน่ากลัวเกินไป {nl}สิ่งนี้ไม่เคยเกิดขึ้นเลยเมื่อครั้นเทพธิดายังคงอยู่...
QUEST_LV_0200_20150317_000019	Sincere Owl Sculpture	รูปแกะสลักนกฮูกบริสุทธิ์
