QUEST_LV_0300_20150323_000001	"We were deployed here from headquarters to support the Knights of Kaliss.{nl}If you want to know more, head over to our headquarters at Verkti Square."	พวกเราออกเดินทางจากกองบัญชาการมาถึงที่นี่ก็เพื่อให้การสนับสนุนอัศวินแห่ง Kaliss{nl}หากคุณมีสิ่งใดสงสัยสามารถหาคำตอบได้จากกองบัญชาการที่จัตุรัส Verkti
QUEST_LV_0300_20150323_000002	"I've been a merchant all my life. {nl}After Medzio Diena, this seemed like the safest place to be, so I settled here... {nl}But I guess I was wrong."	แต่เดิมฉันเป็นคนค้าขาย {nl}หลังจากวัน Medzio Diena ฉันตัดสินใจพักอยู่ที่นี่เพราะคิดว่าจะปลอดภัยมากที่สุด{nl}แต่ดูเหมือนจะคิดผิด
QUEST_LV_0300_20150323_000003	"I've met many Revelators during my travels.{nl}In my opinion... there is something special about them, and it's not just their strength."	ฉันได้พบกับเหล่า Revelator มากมายระหว่างการเดินทาง{nl}ในความคิดของฉันท่านเหล่านั้นมีบางสิ่งพิเศษซ่อนอยู่ไม่ได้มีแต่ความแข็งแกร่งเท่านั้น
QUEST_LV_0300_20150323_000004	I'm not blaming the goddesses and the priests.{nl}But I think it's too much when they tell us to just trust them and wait.	ฉันไม่เคยโทษเทพเจ้าหรือเหล่านักบวช{nl}แต่ฉันคิดว่ามันคงมากเกินไปที่จะรอและเชื่อเพียงเพราะคำบอกเล่า
QUEST_LV_0300_20150323_000005	"The seals in the village are supposed to be sealed - that's why they're called seals, {nl}so what's the big deal? The priests are just trying to scare us for no reason."	ผนึกที่อยู่ในหมู่บ้านมันถูกผนึกเอาไว้ นั่นแหละเหตุผลที่ทำมันถึงถูกเรียกว่าผนึก{nl}ฉันคิดว่านั่นแหละคือสิ่งที่พวกนักบวชใช้เพื่อสร้างความน่ากลัวให้พวกเรา
QUEST_LV_0300_20150323_000006	"The priests don't want everyone to know how important the seals in the village are.{nl}They think that they can just take the burden upon themselves, {nl}and then everything will be alright."	พวกนักบวชไม่อยากให้ใครรู้ว่าผนึกในหมู่บ้านมีความสำคัญยังไง{nl}พวกเขาคิดแต่เพียงว่าการเสียสละตัวเองแบบนั้นเป็นหน้าที่{nl}และทุกสิ่งที่ทำนั้นเป็นสิ่งที่ถูกต้องแล้ว
QUEST_LV_0300_20150323_000007	"Some of the priests want to be truthful and open with the villagers.{nl}At this rate, if something really bad happens..."	มีนักบวชบางคนต้องการเปิดเผยเรื่องราวอย่างจริงใจต่อชาวบ้าน{nl}เพราะอย่างนี้ ถ้ามีเรื่องราวใหญ่โตเกิดขึ้น
QUEST_LV_0300_20150323_000008	The evil energy is making this forest decay into a lifeless place.{nl}It is easily the biggest problem this village is facing.	พลังชั่วร้ายทำให้ป่าเสื่อมโทรมและทำให้สิ่งมีชีวิตไม่สามารถอาศัยอยู่ได้{nl}และนั่นคือปัญหาใหญ่ที่สุดที่หมู่บ้านของเรากำลังเผชิญอยู่
QUEST_LV_0300_20150323_000009	Goddess...{nl}Please tell me the village's seal is really okay...	ท่านเทพธิดา{nl}ผนึกของหมู่บ้านจะไม่เป็นไรจริงๆ ใช่ไหม
QUEST_LV_0300_20150323_000010	"Demons will continue to target the seal and attack endlessly.{nl}With Goddess Austeja still missing, how long will we be able to last..."	ต่อไปนั้นพวกปีศาจคงจะเข้าจู่โจมผนึกและโจมตีเข้ามาอย่างต่อเนื่อง{nl}ไม่รู้ว่าจะต้านทานอยู่ได้นานเท่าไรในเมื่อเทพธิดา Austeja ยังคงสูญหาย
QUEST_LV_0300_20150323_000011	"It was a mistake for us to try to handle this by ourselves.{nl}From now on, we will tell the villagers the whole truth and include them in a {nl}deliberate discussion on how to handle the matter."	มันเป็นความผิดของพวกเราที่พยายามจะจัดการเรื่องพวกนี้ด้วยตัวเอง{nl}นับตั้งแต่นี้เป็นต้นไป เราจะต้องบอกความจริงทั้งหมดแก่ชาวบ้าน{nl}เพื่อปรึกษาหาหนทางแก้ไขเรื่องนี้
QUEST_LV_0300_20150717_000012	Check the Detector's Functionality (1)	ตรวจสอบการทำงานของ Detector (1)
QUEST_LV_0300_20150717_000013	"Demons, Goddesses, and the Petrified City (1)"	"ปีศาจ, เทพธิดาและ Petrified City (1)"
QUEST_LV_0300_20150717_000014	Check the Detector's Functionality (2)	ตรวจสอบการทำงานของ Detector (2)
QUEST_LV_0300_20150717_000015	"Demons, Goddesses, and the Petrified City (2)"	"ปีศาจ, เทพธิดาและ Petrified City (2)"
QUEST_LV_0300_20150717_000016	Check the Detector's Functionality (3)	ตรวจสอบการทำงานของ Detector (3)
QUEST_LV_0300_20150717_000017	Check the Detector's Functionality (4)	ตรวจสอบการทำงานของ Detector (4)
QUEST_LV_0300_20150717_000018	About the Guidance of Souls	การนำทางดวงวิญญาณ
QUEST_LV_0300_20150717_000019	Repair the Petrification Detector	กำลังซ่อม Detector
QUEST_LV_0300_20150717_000020	Repairing/MAKING/3/TRACK_AFTER/None	กำลังซ่อม/MAKING/3/TRACK_AFTER/None
QUEST_LV_0300_20150717_000021	Check the Detector's Functionality (5)	ตรวจสอบการทำงานของ Detector (5)
QUEST_LV_0300_20150717_000022	Repairing/MAKING/3/TRACK_BEFORE	กำลังซ่อม/MAKING/3/TRACK_BEFORE
QUEST_LV_0300_20150717_000023	Notice/!/One of the parts is not fastened very well{nl}You'll need something like a string to tie it in place!#5	Notice/!/ชิ้นส่วนบางอย่างหลวม{nl}คุณต้องใช้สิ่งที่คล้ายเชือก!#5
QUEST_LV_0300_20150717_000024	Notice/!/You need to find a string.#5	Notice/!/คุณต้องหาเชื่อก#5
QUEST_LV_0300_20150717_000025	For the Guidance of Souls	สำหรับการนำทางดวงวิญญาณ
QUEST_LV_0300_20150717_000026	Now you can relax	ถ้าจะพักตอนนี้ก็ได้
QUEST_LV_0300_20150717_000027	Examining the Device/LOOK/2/TRACK_BEFORE/None	กำลังทดสอบอุปกรณ์/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000028	"Notice/!/When you touch the device, it feels as if your soul is being sucked out!{nl}You begin to feel weaker and weaker!"	Notice/!/เมื่อสัมผัสกับอุปกรณ์จะรู้สึกเหมือนวิญญาณถูกแยกออก!{nl}แล้วความรู้สึกรับรู้ก็จะค่อยๆ หมดไป!
