QUEST_LV_0400_20161005_000001	Kedoran Alliance Merchant Alta	Kedoran Alliance Merchant Alta
QUEST_LV_0400_20161005_000002	"I came here since I was worried, but I won't dare to go in there by myself.{nl}That's why I am asking you."	ฉันมาด้วยความกังวลแต่ฉันก็ไม่กล้าไปที่แห่งนั้น{nl}นั่นคือเหตุผลว่าทำไมฉันถึงถามคุณ
QUEST_LV_0400_20161005_000003	I can't just wonder into places like that you know.{nl}There are monsters just sitting there...	ฉันไม่แปลกใจในสถานที่แห่งนั้นเลย คุณก็รู้{nl}มีมอนสเตอร์อยู่ที่นั่น
QUEST_LV_0400_20161005_000004	There's rumors of the Alembique Legend among the refugees.{nl}I wanted to know the truth.	มีข่าวลือเกี่ยวกับจำนวนผู้ลี้ภัยในตำนานของ Alembique {nl}ฉันต้องการที่จะรู้ความจริง
QUEST_LV_0400_20161005_000005	"{nl}There might be products that the Alliance is looking for...{nl}Since you were going to explore the cave anyways, it's like hitting two Popolions with one stone."	{nl}มันอาจจะเป็นสินค้าที่พันธมิตรมองหาอยู่ก็เป็นได้{nl}ตั้งแต่คุณออกไปทำการสำรวจถ้ำ มันก็เหมือนกับโจมตี Popolions สองตนด้วยก้อนหินเพียงก้อนเดียว
QUEST_LV_0400_20161005_000006	{nl}I'll give you this book as payment.{nl}It'll be better than going in blind will it not?	{nl}ฉันจะให้หนังสือเล่มนี้แทนการจ่ายเงินนะ{nl}มันคงจะดีกว่าการไปค้นหามันเองแน่ๆ
QUEST_LV_0400_20161005_000007	Priest Lintas is correcting the contents of the monument.{nl}The process is taking some time.	Priest Lintas ได้ทำการแก้ไขเนื้อหาของอนุสาวรีย์นี้ {nl}ซึ่งต้องใช้เวลาสักระยะในการแก้ไขดังกล่าว
QUEST_LV_0400_20161005_000008	"Thanks to you, the monument has been corrected.{nl}We need to check up on the status of Priest Kidas and Brunas."	ขอบคุณมากนะ อนุสาวรีย์ได้รับการแก้ไขเรียบร้อยแล้ว{nl}เราต้องใช้เวลาในการตรวจสอบสถานะของ Priest Kidas และ Priest Brunas
QUEST_LV_0400_20161005_000009	"Even with the help, a flechette is nowhere to be found.{nl}I should go back to my master after sorting things out a bit in here."	ไม่สามารถหา Flechette เจอได้เลย แม้จะได้รับความช่วยเหลือก็ตาม {nl}ฉันควรจะกลับไปหาอาจารย์หลังจากจำแนกสิ่งต่างๆ จากที่นี่น่าจะดีที่สุด
QUEST_LV_0400_20161005_000010	Aquilas	Aquilas
QUEST_LV_0400_20161005_000011	I came here to learn archery but am just running errands finding that blasted arrow...{nl}If I knew that I had to look for arrows. I would not have started this journey...{nl}	ฉันมาที่นี่เพื่อเรียนรู้การยิงธนู แต่ฉันทำได้เพียงคอยมองไปยังลูกธนูเหล่านั้น...{nl}ถ้าฉันรู้ ฉันจะไม่เริ่มต้นการเดินทางครั้งนี้อย่างแน่นอน...{nl}
QUEST_LV_0400_20161005_000012	"I mean, this is all because of Lydia Schaffen.{nl}She should have taken her Flechette or whatever if she had used it to kill Ghibulinas!"	ฉันหมายความว่าทั้งหมดนี้เป็นเพราะ Lydia Schaffen {nl}เธอควรจะนำ Flechette ของเธอไปด้วย ถ้าเธอต้องใช้มันเพื่อสังหาร Ghibulinas!
QUEST_LV_0400_20161005_000013	{nl}Who cares if she is a legendary person.{nl}She doesn't know how to look after her things.	{nl}ใครใส่ใจหล่ะ ถึงเธอจะเป็นบุคคลในตำนานก็เหอะ{nl}ถ้าเธอไม่ทราบวิธีดูแลสิ่งต่างๆ ของเธอเอง
QUEST_LV_0400_20161005_000014	{nl}I can't understand my master.{nl}I don't know how I can be forgiven if I find that Flechette or whatever.	{nl}ฉันไม่เข้าใจอาจารย์ของฉันเลยจริงๆ{nl}ฉันไม่รู้ว่าทำอย่างไรถึงจะได้รับการยกโทษให้ หากฉันพบ Flechette หรืออะไรก็ตามแต่
QUEST_LV_0400_20161005_000015	{nl}Even if I do somehow agree that it is important... I don't get how reporting on the vegetation is supposed to be important.{nl}Ugh... Not my kind of work.	{nl}แม้ว่าฉันจะได้รับการยอมรับด้วยวิธีใดก็ตามซึ่งมันสำคัญมาก... ฉันไม่ได้รับการรายงานว่าพืชจะเป็นสิ่งสำคัญ{nl}ฮึ... นี่ไม่ใช่งานของฉัน...
QUEST_LV_0400_20161005_000016	"I'd be really grateful if you'd offer any type of help.{nl}First of all, could you get me some Poppy Bracken, Aily Grass and Pria Flowers."	"ฉันจะรู้สึกขอบคุณอย่างสุดซึ้งหากคุณเสนอความช่วยเหลือ{nl}อย่างแรกเลย  คุณสามารถมอบ Poppy Bracken , Aily Grass และ Pria Flowers ให้ฉันได้หรือไม่"
QUEST_LV_0400_20161005_000017	{nl}What do they have to do with the legendary arrow?{nl}I have no idea either.	{nl}อะไรที่พวกเขาควรทำกับลูกธนูในตำนานนั่น?{nl}ฉันไม่มีความเห็นเลยแหะ
QUEST_LV_0400_20161005_000018	Stupid Flechette or whatever it's called...	Flechette งี่เง่าหรืออะไรก็ตามที่เรียก...
QUEST_LV_0400_20161005_000019	Mechen	Mechen
QUEST_LV_0400_20161005_000020	I thought that Aquilas had come to report...{nl}This place is dangerous due to all of the monsters and demons.	ฉันคิดว่า Aquilas ได้มารายงาน...{nl}สถานที่แห่งนี้เต็มไปด้วยอันตรายจากเหล่ามอนสเตอร์ และปีศาจ
QUEST_LV_0400_20161005_000021	{nl}How about leaving if you don't have any important business.	{nl}วิธีการที่จะออกไปโดยคุณไม่จำเป็นต้องมีธุระสำคัญใดๆ
QUEST_LV_0400_20161005_000022	"{nl}Oh?{nl}Ah, you're a Revelator."	{nl}โอ้?{nl}อ่า...คุณเป็นผู้เผยความจริง
QUEST_LV_0400_20161005_000023	{nl}It seems as if you are curious as to what my apprentices and I are doing here.{nl}Have you heard anything from Aquilas?	{nl}ดูเหมือนว่าถ้าคุณต้องการรู้ว่าอะไรที่ฉันและลูกศิษย์ของฉันกำลังทำอยู่ที่นี่{nl}คุณรู้อะไรมาบ้างแล้วจาก Aquilas ใช่รึเปล่า?
QUEST_LV_0400_20161005_000024	"{nl}Oh, I am a member of the Astral Tower and sibling to the former leader.{nl}I made a big mistake while Ignas was trying to take control of the Astral Tower."	{nl}โอ้...ฉันเป็นสมาชิกของ  Astral Tower และเป็นพี่น้องกับอดีตผู้นำ{nl}ฉันทำผิดพลาดครั้งใหญ่ในขณะที่ Ignas ได้พยายามที่จะควบคุม Astral Tower
QUEST_LV_0400_20161005_000025	"{nl}Ignas didn't miss out on the opportunity and took over the Astral Tower.{nl}Of course, the rest of the members don't look upon me so kindly."	{nl}Ignas ไม่พลาดโอกาสที่จะได้ครอบครอง Astral Tower{nl}แน่นอนว่า สมาชิกส่วนที่เหลือไม่ได้สนใจฉันอยู่แล้ว
QUEST_LV_0400_20161005_000026	"{nl}No matter how I tell them that it was a mistake, they refuse to listen."	{nl}ไม่ว่าฉันจะบอกยังไงว่ามันเป็นความผิดพลาด แต่พวกเขาก็ไม่ฟัง
QUEST_LV_0400_20161005_000027	{nl}That's why I have decided to try and find Lydia Schaffen's Flechette to try and undo my wrongdoings.	{nl}นั่นเป็นเหตุผลว่าทำไมฉันถึงตัดสินใจพยายามค้นหา Flechette ของ Lydia Schaffen เพื่อแก้ไขข้อผิดพลาดที่ฉันได้ทำขึ้นนั่นเอง
