UI_20150317_000001	{@st41b}Learn Attributes{nl}from respective masters of each class.{/}	{@st41b}เรียนรู้แอตทริบิวต์{nl}จาก Master ของแต่ละอาชีพ{/}
UI_20150317_000002	{@st43}Attribute List {/}	{@st43}รายชื่อแอตทริบิวต์ {/}
UI_20150317_000003	{@st59}Close{/}	{@st59}ปิด{/}
UI_20150317_000004	{@st43}Learn Attributes{/}	{@st43}เรียนรู้แอตทริบิวต์{/}
UI_20150317_000005	{@st59}Close{/}	{@st59}ปิด{/}
UI_20150317_000006	{@st41b}Silver{/}	{@st41b}Silver{/}
UI_20150317_000007	My Achievements	ความสำเร็จของฉัน
UI_20150317_000008	Server Ranking	อันดับของเซิร์ฟเวอร์
UI_20150317_000009	{@st59}An unexpected event is available.{/}	{@st59}มีกิจกรรมที่ไม่ทราบล่วงหน้าให้เข้าร่วม{/}
UI_20150317_000010	{@st59}There is a new Help message{/}	{@st59}มีข้อความช่วยเหลือใหม่{/}
UI_20150317_000011	{@st41}Are you sure you want to craft this type of arrow?{/}	{@st41}คุณแน่ใจหรือว่าต้องการสร้างลูกธนูชนิดนี้?{/}
UI_20150317_000012	{@st41b}Once{/}	{@st41b}ครั้งเดียว{/}
UI_20150317_000013	{@st41b}All{/}	{@st41b}ทั้งหมด{/}
UI_20150317_000014	{@st41b}Pause{/}	{@st41b}หยุดชั่วคราว{/}
UI_20150317_000015	{@st43}Adventure Journal{/}	{@st43}บันทึกการผจญภัย{/}
UI_20150317_000016	{@st43}Auction House{/}	{@st43}ระบบประมูลไอเทม{/}
UI_20150317_000017	{@st59}Close{/}	{@st59}ปิด{/}
UI_20150317_000018	"{@st41b}Items Sold  : ?%s, Items Unsold : ?%s{/}"	"{@st41b}ไอเทมที่ขาย  : ?%s, ไอเทมที่ยังไม่ได้ขาย : ?%s{/}"
UI_20150317_000019	{@st43}{s22}Item Auction{/}	{@st43}{s22}การประมูลไอเทม{/}
UI_20150317_000020	{@st59}Close{/}	{@st59}ปิด{/}
UI_20150317_000021	Availest	Availest
UI_20150317_000022	{@st41b}Remaining Time	{@st41b}เวลาคงเหลือ
UI_20150317_000023	3 hours 16 minutes	3 ชั่วโมง 16 นาที
UI_20150317_000024	{@st41b}Starting Price	{@st41b}ราคาเริ่มต้น
UI_20150317_000025	{@st41b}Bids	{@st41b}ประมูล
UI_20150317_000026	{@st41b}Current Price	{@st41b}ราคาขณะนี้
UI_20150317_000027	{@st41b}Bidding Price	{@st41b}ราคาประมูล
UI_20150317_000028	{@st41b}Minimum Bid Price from {@st57}%s{@st41b}silver{/}	{@st41b}ราคาประมูลขั้นต่ำ {@st57}%s{@st41b} Silver{/}
UI_20150317_000029	{@st41b}Bid{/}	{@st41b}ประมูล{/}
UI_20150317_000030	{@st43b}Buy Now!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}ซื้อเลย!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Permission Settings{/}	{@st44}ตั้งค่าสิทธิ์{/}
UI_20150317_000032	{@st45}Name: %s{/}	{@st45}ชื่อ: %s{/}
UI_20150317_000033	{@st45}Party Storage{/}	{@st45}คลังเก็บของปาร์ตี้{/}
UI_20150317_000034	{@st49}None	{@st49}ไม่มี
UI_20150317_000035	{@st49}Store	{@st49}ร้านค้า
UI_20150317_000036	{@st49}Retrieve	{@st49}รับ
UI_20150317_000037	{@st45}Survey{/}	{@st45}สำรวจ{/}
UI_20150317_000038	{@st49}Create	{@st49}สร้าง
UI_20150317_000039	{@st49}Delete	{@st49}ลบ
UI_20150317_000040	{@st44}Save{/}	{@st44}บันทึก{/}
UI_20150317_000041	{@st44}Cancel{/}	{@st44}ยกเลิก{/}
UI_20150317_000042	{@st43}{s22}Hairstyle Shop{/}	{@st43}{s22}ร้านค้าทรงผม{/}
UI_20150317_000043	{@st59}Previous Hairstyle{/}	{@st59}ทรงผมก่อนหน้า{/}
UI_20150317_000044	{@st59}Next Hairstyle{/}	{@st59}ทรงผมถัดไป{/}
UI_20150317_000045	{@st41b} Change {s18} (100 TPs required) {/}	{@st41b} เปลี่ยน {s18} (ต้องการ 100 TPs) {/}
UI_20150317_000046	{@st59}Change to selected hairstyle.{/}	{@st59}เปลี่ยนทรงผมเป็นแบบที่เลือกไว้{/}
UI_20150317_000047	{@st41}Cancel	{@st41}ยกเลิก
UI_20150317_000048	{@st43}Black Market{/}	{@st43}ตลาดมืด{/}
UI_20150317_000049	Book Name	ชื่อหนังสือ
UI_20150317_000050	{@St59}Stop Reading{/}	{@St59}เลิกอ่าน{/}
