ETC_20150317_000001	Kepa	케파
ETC_20150317_000002	Kepa ไม่ใช่มอนสเตอร์ที่แข็งแกร่ง. อย่างไรก็ตามการโจมตีด้วยความประมาทอาจนำคุณไปสู่การหลั่งน้ำตา	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 
ETC_20150317_000003	Large Kepa	대형 케파
ETC_20150317_000004	มีหลายคนที่พยายามจะกิน Large Kepa เป็นบางครั้ง. อย่าปล่อยให้พวกเขาทำ	가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.
ETC_20150317_000005	Red Kepa	붉은 케파
ETC_20150317_000006	ตรงกันข้ามกับความเชื่อที่ได้รับความนิยม, นั่นคือ Kepas สีแดงที่มีลักษณะคล้ายกับ Kepa ดั้งเดิมมากที่สุด	보통 인식과 달리 붉은 케파가 더 원형 케파에 가깝습니다.
ETC_20150317_000007	Poisoned Kepa	중독된 케파
ETC_20150317_000008	มอนสเตอร์	몬스터
ETC_20150317_000009	Hamming	하밍
ETC_20150317_000010	แม้จะมีผิวที่ทนทาน, แต่ Hamming เป็นมอนสเตอร์ที่อ่อนแอพอสมควร	하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.
ETC_20150317_000011	Chinency	치넨시
ETC_20150317_000012	ลำต้นดั้งเดิมของพืช,  Chinency  มีการพัฒนารูปแบบปัจจุบันของพวกเขา	보기와 달리 식물의 줄기가 변형된 몬스터입니다.
ETC_20150317_000013	Mutant Chinency	변이 치넨시
ETC_20150317_000014	Jukopus	유코푸스
ETC_20150317_000015	มีคนรู้น้อยมากเกียวกับโครงสร้างภายในของ Jukopus	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.
ETC_20150317_000016	Blue Jukopus	푸른 유코푸스
ETC_20150317_000017	Gray Jukopus	회색 유코푸스
ETC_20150317_000018	ขึ้นอยู่กับความสมบูรณ์ของมัน,  มอนสเตอร์ตัวนี้อาจจะพัฒนาเทคนิคการต่อสู้ที่แตกต่างกันได้	성숙도에 따라 다양한 기술로 공격해오는 몬스터입니다.
ETC_20150317_000019	Pokuborn	포쿠본
ETC_20150317_000020	Yellow Pokuborn	노란 포쿠본
ETC_20150317_000021	Blue Pokuborn	푸른 포쿠본
ETC_20150317_000022	มีหลายสิ่งที่คุณควรระวังกับมอนสเตอร์ตัวนี้ เหนือสิ่งอื่นใดอย่าโดนโจมตีด้วยการชาร์จของมัน	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.
ETC_20150317_000023	Green Pokuborn	초록 포쿠본
ETC_20150317_000024	แม้หลังจากการกลายพันธุ์เนื้อของพวกเขายังคงกินได้	몬스터화한 후에도 고기는 얻을 수 있다는 점이 장점입니다.
ETC_20150317_000025	Blue Pokubu	푸른 포쿠부
ETC_20150317_000026	Banshee	밴시
ETC_20150317_000027	วิญญาณของคนที่เคยผจญภัยไปสู่นรก ตอนนี้ปรากฏเป็นปีศาจ	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다.
ETC_20150317_000028	Red Banshee	붉은 밴시
ETC_20150317_000029	Evil Spirit	사악한 망령
ETC_20150317_000030	จิตวิญญาณที่ไม่ได้รับคำแนะนำของเทพธิดา มันเกิดมาจากการควบคุมของปีศาจ	여신의 인도를 받지 못한 영혼들이 마족의 지배를 받아 생겨납니다.
ETC_20150317_000031	Large Banshee	대형 밴시
ETC_20150317_000032	Beehive	벌통
ETC_20150317_000033	Blue Beehive	푸른 벌통
ETC_20150317_000034	Grey Beehive	회색 벌통
ETC_20150317_000035	Red Beehive	붉은 벌통
ETC_20150317_000036	Bushspider	크루마보
ETC_20150317_000037	การคลานอยู่ท่ามกลางเงาของป่า,  มอนสเตอร์นี้จะค่อยๆ พัฒนาขนาดใหญ่ขึ้นเมื่อเวลาผ่านไป	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.
ETC_20150317_000038	Black Bushspider	검은 크루마보
ETC_20150317_000039	Red Bushspider	붉은 크루마보
ETC_20150317_000040	White Bushspider	하얀 크루마보
ETC_20150317_000041	Yellow Bushspider	노란 크루마보
ETC_20150317_000042	Disgusting Dionia	구역질나는 디오니아
ETC_20150317_000043	Dionia Poza	디오니아 포자
ETC_20150317_000044	Blue Fragaras	푸른 프라가라스
ETC_20150317_000045	มอนสเตอร์ตัวนี้เติบโตและมีขนาดใหญ่ขึ้น แต่มีการเปลี่ยนแปลงไม่มากนัก.  ในอดีต, ยังคงใช้เป็นพืชร้ายแรงถึงตาย	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.
ETC_20150317_000046	Black Fragaras	검은 프라가라스
ETC_20150317_000047	Red Fragaras	붉은 프라가라스
ETC_20150317_000048	Vubbe Fighter	부베 투사
ETC_20150317_000049	Blue Vubbe Fighter	푸른 부베 투사
ETC_20150317_000050	Red Vubbe Fighter	붉은 부베 투사
ETC_20150317_000051	ไม่รู้ว่านักสู้ Vubbe ได้รับการฝึกมา, หรือเพียงแค่มีความสามารถในการต่อสู้ตามธรรมชาติ	부베 투사가 성장하는 것인지 선천적으로 태어나는지 아직 밝혀지지 않았습니다.
