INTL_20160320_000001	จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	인던,미션 1회 추가입장
INTL_20160320_000002	ประกอบด้วยสิทธิพิเศษมากมายสำหรับทุกตัวละครของคุณในเซิร์ฟเวอร์นี้เป็นเวลา30วัน คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token ]{nl} -สามารถเรียนรู้2คุณลักษณะพร้อมกัน{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ5ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl}- สามารถใช้ร้านค้าส่วนตัวได้ 30 ครั้ง{nl}- จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능
INTL_20160320_000003	ประกอบด้วยสิทธิพิเศษมากมายแก่ทุกตัวละครของคุณในเซิร์ฟเวอร์เป็นเวลา60วัน. คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token]{nl} -สามารถเรียนรู้2คุณลักษณะพร้อมกัน{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ5ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl}- สามารถใช้ร้านค้าส่วนตัวได้ 60 ครั้ง{nl}- จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능
INTL_20160323_000004	-สามารถเรียนรู้2คุณลักษณะพร้อมกัน{nl} - ลดภาษีการค้าลง (30% {รูปสีขาว_ขวา_ธนู 16 16} 10%){nl} - สามารถลงรายการ5ครั้งในตลาด{nl} - +3เพิ่มความเร็วการเคลื่อนที่ตัวละคร{nl} - สามารถขายได้แค่30ครั้ง{nl	- 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl}
INTL_20160326_000005	สิทธิประโยชน์Tokenสำหรับทุกตัวละครของคุณจะคงอยู่ในเซิร์ฟเวอร์เป็นเวลา60วัน. คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token]{nl} -สามารถเรียนรู้2คุณลักษณะพร้อมกัน{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ5ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl}(ซ้อนทับประสิทธิภาพEXP){nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} - สามารถใช้ร้านค้าส่วนตัวได้ 60 ครั้ง	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능
INTL_20160326_000006	Token: 30 Days	토큰:30일
INTL_20160329_000007	10x Enchant Scroll Box	마법 부여 스크롤 10개 상자
INTL_20160329_000008	ประกอบด้วย 10 ม้วนมนตรา. คลิกขวาเพื่อใช้งาน	사용 시 마법 부여 스크롤 10개를 획득합니다. 마우스 우클릭으로 사용합니다.
INTL_20160329_000009	10x Megaphone Box	확성기 10개 상자
INTL_20160329_000010	ประกอบด้วยแตร 10 ชิ้น . คลิกขวาเพื่อใช้งาน	사용 시 확성기 10개를 획득합니다. 마우스 우클릭으로 사용합니다.
INTL_20160419_000011	เมื่อใช้แล้วจะได้รับ 455 TP.	사용 시 455 TP를 획득합니다.
