SKILL_20150317_000001	Attack	공격
SKILL_20150317_000002	[Elite Kepa] ตี, ธาตุพิษ, กายภาพ, 1 ครั้ง	[엘리트케파] 1회, 물리, 독속성, 떄리기
SKILL_20150317_000003	[Rafflesia] แผ่กระจายพิษโดยรอบ	[라플레시아] 주변으로 독 날리기
SKILL_20150317_000004	[Rafflesia] ระเบิดพิษ	[라플레시아] 독 포탄 날리기
SKILL_20150317_000005	[Raffly] กายภาพ, ตี, ธาตุพิษ, โจมตี 1 ครั้ง	[라플리] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000006	[Raffly] กายภาพ, ตี, ธาตุพิษ, กระโดดโจมตี 1 ครั้ง	[라플리] 물리, 타격, 독속성, 1회 점프해서 덮치는 공격
SKILL_20150317_000007	[Puragi] กายภาพ, ตี, ธาตุพิษ, โจมตีทั่วไป 1 ครั้ง	[푸라기] 물리, 떄리기, 독속성, 1회 일반 공격, 전방 부채꼴
SKILL_20150317_000008	[Puragi] กายภาพ, ตี, ธาตุพิษ, โจมตี 1 ครั้ง	[푸라기] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000009	[Puragi] กายภาพ, ตี, ธาตุพิษ, เหยียบ 1 ครั้ง	[푸라기] 물리, 타격, 독속성, 1회 내려치기
SKILL_20150317_000010	[Zigri] โจมตีทั่วไป, AoE รูปกรวย	[지그리] 일반 공격, 전방 부채꼴
SKILL_20150317_000011	[Zigri] หมุนตัวโจมตี	[지그리] 회전공격 가하기
SKILL_20150317_000012	[Zigri] กระโดดและปล่อยคลื่นช็อค	[지그리] 점프해서 충격파 보내기
SKILL_20150317_000013	[Fisherman] กายภาพ, ตี, ธาตุน้ำแข็ง, ตีด้วยเบ็ดตกปลา	[피셔맨] 물리, 타격, 수속성, 1회 낚시대로 내려치기
SKILL_20150317_000014	[Fisherman] เวทย์, บัฟ, เวทย์, สกิลบัฟ	[피셔맨] 매직, 버프, 매직, ] 버프 스킬
SKILL_20150317_000015	[Green Pokuborn] กายภาพ, แทง, ธาตุสายฟ้า, โจมตีด้วยเขา 1 ครั้ง	[초록 포쿠본] 물리, 찌르기, 뇌속성, 1회 뿔로 들이받기
SKILL_20150317_000016	[Bushspider] กายภาพ, ตี, ธาตุดิน, โจมตี 1 ครั้ง	[크루마보] 물리, 타격, 땅속성, 1회 공격
